r_id,type,action_date,go_id,save,like,id,agency,open_date,close_date,title,desc,elig,category,sub_category,award,loc,sp,is_on,text
Reg_test@2.com,1,2022-04-29 11:04:32,GO4526,,,Grants623b05e9b34a6bd48ae4c10a,"Department of Agriculture, Water and the Environment",2020-11-18,2021-01-15,Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program,"The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research.","To be eligible to receive a grant, you must be one of the organisations listed in the Grant Opportunity Guidelines and have received an invitation to apply through GrantConnect.",321003 - Scientific Research,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,0.0,"Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program.The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research."
Reg_t@t.com,2,2022-04-29 11:02:58,GO4526,1.0,,Grants623b05e9b34a6bd48ae4c10a,"Department of Agriculture, Water and the Environment",2020-11-18,2021-01-15,Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program,"The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research.","To be eligible to receive a grant, you must be one of the organisations listed in the Grant Opportunity Guidelines and have received an invitation to apply through GrantConnect.",321003 - Scientific Research,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,0.0,"Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program.The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research."
Reg_test@2.com,4,2022-04-29 11:04:31,GO4526,,1.0,Grants623b05e9b34a6bd48ae4c10a,"Department of Agriculture, Water and the Environment",2020-11-18,2021-01-15,Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program,"The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research.","To be eligible to receive a grant, you must be one of the organisations listed in the Grant Opportunity Guidelines and have received an invitation to apply through GrantConnect.",321003 - Scientific Research,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,0.0,"Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program.The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research."
Reg_t@t.com,4,2022-04-29 11:02:59,GO4526,,1.0,Grants623b05e9b34a6bd48ae4c10a,"Department of Agriculture, Water and the Environment",2020-11-18,2021-01-15,Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program,"The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research.","To be eligible to receive a grant, you must be one of the organisations listed in the Grant Opportunity Guidelines and have received an invitation to apply through GrantConnect.",321003 - Scientific Research,,,"ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Closed Non-Competitive,0.0,"Centre of Excellence for Biosecurity Risk Analysis (CEBRA) grant program.The Australian Government is inviting an organisation, via a restricted process under the Centre of Excellence for Biosecurity Risk Analysis Grant Program, to continue to deliver practical, rigorous solutions and strategic advice related to biosecurity risk analysis, encompassing the assessment, management and communication of biosecurity risk from July 2021 to June 2025.   
 The program will provide strategic advice on current and future biosecurity trends and risks, provide guidance on priority areas for research investment (including new approaches or technologies), and play a greater role in helping to develop Australia s capability and connectedness to capabilities domestically and overseas in biosecurity risk analysis research."
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5563,,,Grants625be88dd84803ea363f2e48,Department of Foreign Affairs and Trade,2022-03-28,2022-06-14,2023 New Colombo Plan Mobility Round,"The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increase the number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific.  
 
 Mobility Projects must include at least one of the following components:  
 
 
 study; 
 
 
 in-country language study; 
 
 
 Internships (including clinical placements, practicums or artist residencies); or  
 
 
 Research. 
 
 
 Successful Applicants (Funding Recipients) will be awarded funding to be used for Mobility Projects in Host Locations.",Applications for funding will be accepted from all Australian Universities (defined as a registered higher education provider under the  Tertiary Education Quality and Standards Agency Act 2011  (Cth)  in a provider category that permits the use of the word  university ) and consortia of Australian Universities,371004 - Public Diplomacy,191002 - Higher Education,,Overseas,Targeted or Restricted Competitive,1.0,"2023 New Colombo Plan Mobility Round.The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increase the number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific.  
 
 Mobility Projects must include at least one of the following components:  
 
 
 study; 
 
 
 in-country language study; 
 
 
 Internships (including clinical placements, practicums or artist residencies); or  
 
 
 Research. 
 
 
 Successful Applicants (Funding Recipients) will be awarded funding to be used for Mobility Projects in Host Locations."
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5563,,,Grants625be88dd84803ea363f2e48,Department of Foreign Affairs and Trade,2022-03-28,2022-06-14,2023 New Colombo Plan Mobility Round,"The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increase the number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific.  
 
 Mobility Projects must include at least one of the following components:  
 
 
 study; 
 
 
 in-country language study; 
 
 
 Internships (including clinical placements, practicums or artist residencies); or  
 
 
 Research. 
 
 
 Successful Applicants (Funding Recipients) will be awarded funding to be used for Mobility Projects in Host Locations.",Applications for funding will be accepted from all Australian Universities (defined as a registered higher education provider under the  Tertiary Education Quality and Standards Agency Act 2011  (Cth)  in a provider category that permits the use of the word  university ) and consortia of Australian Universities,371004 - Public Diplomacy,191002 - Higher Education,,Overseas,Targeted or Restricted Competitive,1.0,"2023 New Colombo Plan Mobility Round.The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increase the number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific.  
 
 Mobility Projects must include at least one of the following components:  
 
 
 study; 
 
 
 in-country language study; 
 
 
 Internships (including clinical placements, practicums or artist residencies); or  
 
 
 Research. 
 
 
 Successful Applicants (Funding Recipients) will be awarded funding to be used for Mobility Projects in Host Locations."
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5562,,,Grants625be84bd84803ea363f2e2e,Department of Foreign Affairs and Trade,2022-03-28,2022-08-16,2023 New Colombo Plan Scholarship Round,"The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increased number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific. 
","To be eligible for a New Colombo Plan (NCP) Scholarship, and to remain eligible during the Scholarship Program if a Scholarship is awarded, applicants must meet all eligibility requirements as stated in section 4 of the Guidelines (see attached documents) ",371004 - Public Diplomacy,191002 - Higher Education,,Overseas,Targeted or Restricted Competitive,1.0,"2023 New Colombo Plan Scholarship Round.The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increased number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific. 
"
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5562,,,Grants625be84bd84803ea363f2e2e,Department of Foreign Affairs and Trade,2022-03-28,2022-08-16,2023 New Colombo Plan Scholarship Round,"The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increased number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific. 
","To be eligible for a New Colombo Plan (NCP) Scholarship, and to remain eligible during the Scholarship Program if a Scholarship is awarded, applicants must meet all eligibility requirements as stated in section 4 of the Guidelines (see attached documents) ",371004 - Public Diplomacy,191002 - Higher Education,,Overseas,Targeted or Restricted Competitive,1.0,"2023 New Colombo Plan Scholarship Round.The New Colombo Plan (NCP), launched in 2014, aims to lift knowledge in Australia of the Indo-Pacific by supporting Australian undergraduates to study and undertake internships in the region. The NCP has two programs: scholarships (for study up to 19 months) and mobility grants (for short and longer-term study). Both programs prioritise internships, mentorships and language training. 
 The Strategic Objective of the NCP is to strengthen Australia s regional standing by building a diverse cohort of Australian alumni with deeper Indo-Pacific knowledge, capability and connections. 
 The intended outcomes of the NCP are: 
 
 increased number and diversity of Australian university undergraduates with Indo-Pacific capability 
 deeper people-to-people and institutional relationships between Australia and the Indo-Pacific region, and 
 students and alumni connected with leaders in government, business and civil society in the Indo-Pacific. 
"
Reg_test@anu.com,0,2022-04-29 08:55:14,GO5443,,,Grants625be89bd84803ea363f2e4e,National Health and Medical Research Council (NHMRC),2022-02-15,2022-06-02,2022 GACD A Life Course Approach to Common NCD Risk Factor Prevention and Reduction for funding in 2023,"NHMRC invites applications from Australian researchers under the GACD Common Risk Factors Call 2022. This grant opportunity will support implementation research proposals that take a life course approach to reducing the risks for non-communicable diseases (NCDs) in low- and middle-income countries (LMICs) and/or in disadvantaged populations in high-income countries (HICs). 
 NHMRC will exclusively fund projects that focus on young people (10-24), which includes adolescents (ages 10-19) and youth (15-24). The research must be conducted in a LMIC and/or with Indigenous populations in an HIC. 
 For information about the GACD call please refer to:  https://www.gacd.org/about   ","Applications will only be accepted from NHMRC-approved Administering Institutions. A list of NHMRC-approved Administering Institutions and NHMRC s Administering Institution policy are available on NHMRC s website. 
 https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions      
 Applications must satisfy all the requirements set out in the GACD Common Risk Factors Call 2022 Guidelines.",231013 - Medical Research,,"$5,000,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,1.0,"2022 GACD A Life Course Approach to Common NCD Risk Factor Prevention and Reduction for funding in 2023.NHMRC invites applications from Australian researchers under the GACD Common Risk Factors Call 2022. This grant opportunity will support implementation research proposals that take a life course approach to reducing the risks for non-communicable diseases (NCDs) in low- and middle-income countries (LMICs) and/or in disadvantaged populations in high-income countries (HICs). 
 NHMRC will exclusively fund projects that focus on young people (10-24), which includes adolescents (ages 10-19) and youth (15-24). The research must be conducted in a LMIC and/or with Indigenous populations in an HIC. 
 For information about the GACD call please refer to:  https://www.gacd.org/about   "
Reg_tester@anu.com,0,2022-04-29 09:00:06,GO5443,,,Grants625be89bd84803ea363f2e4e,National Health and Medical Research Council (NHMRC),2022-02-15,2022-06-02,2022 GACD A Life Course Approach to Common NCD Risk Factor Prevention and Reduction for funding in 2023,"NHMRC invites applications from Australian researchers under the GACD Common Risk Factors Call 2022. This grant opportunity will support implementation research proposals that take a life course approach to reducing the risks for non-communicable diseases (NCDs) in low- and middle-income countries (LMICs) and/or in disadvantaged populations in high-income countries (HICs). 
 NHMRC will exclusively fund projects that focus on young people (10-24), which includes adolescents (ages 10-19) and youth (15-24). The research must be conducted in a LMIC and/or with Indigenous populations in an HIC. 
 For information about the GACD call please refer to:  https://www.gacd.org/about   ","Applications will only be accepted from NHMRC-approved Administering Institutions. A list of NHMRC-approved Administering Institutions and NHMRC s Administering Institution policy are available on NHMRC s website. 
 https://www.nhmrc.gov.au/funding/manage-your-funding/nhmrcs-administering-institutions      
 Applications must satisfy all the requirements set out in the GACD Common Risk Factors Call 2022 Guidelines.",231013 - Medical Research,,"$5,000,000.00","ACT, NSW, VIC, SA, WA, QLD, NT, TAS",Targeted or Restricted Competitive,1.0,"2022 GACD A Life Course Approach to Common NCD Risk Factor Prevention and Reduction for funding in 2023.NHMRC invites applications from Australian researchers under the GACD Common Risk Factors Call 2022. This grant opportunity will support implementation research proposals that take a life course approach to reducing the risks for non-communicable diseases (NCDs) in low- and middle-income countries (LMICs) and/or in disadvantaged populations in high-income countries (HICs). 
 NHMRC will exclusively fund projects that focus on young people (10-24), which includes adolescents (ages 10-19) and youth (15-24). The research must be conducted in a LMIC and/or with Indigenous populations in an HIC. 
 For information about the GACD call please refer to:  https://www.gacd.org/about   "
