email,university,name,divisions,tags,id
123@123.com,Australian National University,Test Chemical,['d_03'],,Reg_123@123.com
biological@123.com,Australian National University,Test Biological,['d_06'],,Reg_biological@123.com
charles@0.com,Australian National University,charles test,"['d_08', 'd_10']",,Reg_charles@0.com
history@123.com,Australian National University,Test History,['d_21'],,Reg_history@123.com
huerta@test.com,Australian National University,Terri Huerta,"['d_04', 'd_05']",['Ocean'],Reg_huerta@test.com
information@123.com,Australian National University,Test Information,['d_08'],,Reg_information@123.com
jennytesteight@test.com,University of Newcastle,Jenny Testeight,"['d_07', 'd_14']",,Reg_jennytesteight@test.com
jennytesteighteen@test.com,University of Newcastle,Jenny Testeighteen,"['d_12', 'd_14', 'd_15']",,Reg_jennytesteighteen@test.com
jennytesteleven@test.com,University of Newcastle,Jenny Testeleven,"['d_12', 'd_14', 'd_15']",,Reg_jennytesteleven@test.com
jennytestfifteen@test.com,University of Newcastle,Jenny Testfifteen,"['d_14', 'd_15']",,Reg_jennytestfifteen@test.com
jennytestfive@test.com,University of Newcastle,Jenny Testfive,"['d_14', 'd_15']","['assets', 'budget', 'company value', 'currency', 'endorsements', 'gold standard', 'income tax', 'profitability', 'sharing economy', 'value co-creation']",Reg_jennytestfive@test.com
jennytestfour@test.com,University of Newcastle,Jenny Testfour,"['d_14', 'd_15']","['audit', 'banking', 'cash', 'corporate governance', 'economic success', 'emerging markets', 'financial performance', 'goods', 'monopoly', 'public transport']",Reg_jennytestfour@test.com
jennytestfourteen@test.com,University of Newcastle,Jenny Testfourteen,"['d_09', 'd_14', 'd_15']",,Reg_jennytestfourteen@test.com
jennytestnine@test.com,University of Newcastle,Jenny Testnine,['d_15'],,Reg_jennytestnine@test.com
jennytestnineteen@test.com,University of Newcastle,Jenny Testnineteen,"['d_07', 'd_14', 'd_15']",,Reg_jennytestnineteen@test.com
jennytestone@test.com,University of Newcastle,Jenny Testone,"['d_14', 'd_15']","['accounting', 'bank', 'cash', 'contingency', 'design', 'economic success', 'endorsements', 'financial performance', 'gold standard', 'income tax']",Reg_jennytestone@test.com
jennytestseven@test.com,University of Newcastle,Jenny Testseven,"['d_12', 'd_15']",,Reg_jennytestseven@test.com
jennytestseventeen@test.com,University of Newcastle,Jenny Testseventeen,['d_14'],,Reg_jennytestseventeen@test.com
